original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	profile_mode	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match
dbgi_001182			dbgi_001182	jbuf				7.1564693	46.79277			Clematis alpina (L.) Mill.	[7.156469395003527, 46.79277060265582]																
dbgi_001166			dbgi_001166	jbuf				7.1562123	46.79258			Lonicera caerulea L.	[7.156212536098103, 46.79257855870859]																
dbgi_001158			dbgi_001158	jbuf				7.1563687	46.792652			Lonicera alpigena L.	[7.156368610376055, 46.7926515563055]																
dbgi_001174			dbgi_001174	jbuf				7.156427	46.792755			Lonicera nigra L.	[7.15642671351401, 46.792755870496144]																
dbgi_001156			dbgi_001156	jbuf				7.1561465	46.792976			Clematis alpina (L.) Mill.	[7.156146739688571, 46.79297552135567]																
dbgi_001169			dbgi_001169	jbuf				7.155334	46.793			Lonicera japonica Thunb. 'Halliana'	[7.155334146394731, 46.79299887067759]																
dbgi_003185	dbgi_003185_01_01	dbgi_003185_01	dbgi_003185	jbuf	positive	Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003185_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003185	dbgi_003185_01_01	dbgi_003185_01	dbgi_003185	jbuf	negative	Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003185_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003155	dbgi_003155_01_01	dbgi_003155_01	dbgi_003155	jbuf	positive	Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158	53	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003155_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003155	dbgi_003155_01_01	dbgi_003155_01	dbgi_003155	jbuf	negative	Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158	53	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003155_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003196	dbgi_003196_01_01	dbgi_003196_01	dbgi_003196	jbuf	positive	Emmanuel Defossez	Waldsteinia fragarioides Tratt.	7.1572285	46.792458				[7.157228488394741, 46.79245915471189]	20240625135923	51	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003196_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003196	dbgi_003196_01_01	dbgi_003196_01	dbgi_003196	jbuf	negative	Emmanuel Defossez	Waldsteinia fragarioides Tratt.	7.1572285	46.792458				[7.157228488394741, 46.79245915471189]	20240625135923	51	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003196_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003223	dbgi_003223_01_01	dbgi_003223_01	dbgi_003223	jbuf	positive	Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003223_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003223	dbgi_003223_01_01	dbgi_003223_01	dbgi_003223	jbuf	negative	Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003223_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003101	dbgi_003101_01_01	dbgi_003101_01	dbgi_003101	jbuf	positive	Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003101_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003101	dbgi_003101_01_01	dbgi_003101_01	dbgi_003101	jbuf	negative	Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003101_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003214	dbgi_003214_01_01	dbgi_003214_01	dbgi_003214	jbuf	positive	Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003214_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003214	dbgi_003214_01_01	dbgi_003214_01	dbgi_003214	jbuf	negative	Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003214_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003214		dbgi_003214_02	dbgi_003214	jbuf		Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50		mg	µl	20x20 MeOH/H2O										
dbgi_003180	dbgi_003180_01_01	dbgi_003180_01	dbgi_003180	jbuf	positive	Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003180_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003180	dbgi_003180_01_01	dbgi_003180_01	dbgi_003180	jbuf	negative	Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003180_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi				jbuf		Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458															
dbgi_1				jbuf		Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158															
dbgi_2				kew-botanical-gardens		Kateřina Kučerová	Passiflora	-0.29062262	51.481995				[-0.290622615926055, 51.48199626216848]	20251001122422															
dbgi_3				jbuf		Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558															
dbgi_4				jbuf		Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040															
dbgi_5				jbuf		Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853															
dbgi_6				jbuf		Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337															
dbgi_003140	dbgi_003140_01_01	dbgi_003140_01	dbgi_003140	jbuf	positive	Pierre-Marie Allard	Papaver somniferum L.	7.1564956	46.792496				[7.15649566605681, 46.79249727993352]	20240625134025	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003140_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003140	dbgi_003140_01_01	dbgi_003140_01	dbgi_003140	jbuf	negative	Pierre-Marie Allard	Papaver somniferum L.	7.1564956	46.792496				[7.15649566605681, 46.79249727993352]	20240625134025	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003140_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003198	dbgi_003198_01_01	dbgi_003198_01	dbgi_003198	jbuf	positive	Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003198_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003198	dbgi_003198_01_01	dbgi_003198_01	dbgi_003198	jbuf	negative	Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003198_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003198		dbgi_003198_02	dbgi_003198	jbuf		Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50		mg	µl	20x20 MeOH/H2O										
dbgi_003179	dbgi_003179_01_01	dbgi_003179_01	dbgi_003179	jbuf	positive	Pierre-Marie Allard	Lamprocapnos spectabilis (L.) Fukuhara	7.156495	46.792465				[7.156495147668584, 46.79246567631875]	20240625140019	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003179_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003179	dbgi_003179_01_01	dbgi_003179_01	dbgi_003179	jbuf	negative	Pierre-Marie Allard	Lamprocapnos spectabilis (L.) Fukuhara	7.156495	46.792465				[7.156495147668584, 46.79246567631875]	20240625140019	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003179_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003187	dbgi_003187_01_01	dbgi_003187_01	dbgi_003187	jbuf	positive	Pierre-Marie Allard	Glaucium flavum Crantz	7.156496	46.792477				[7.156495948333851, 46.79247651683258]	20240625140737	52	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003187_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003187	dbgi_003187_01_01	dbgi_003187_01	dbgi_003187	jbuf	negative	Pierre-Marie Allard	Glaucium flavum Crantz	7.156496	46.792477				[7.156495948333851, 46.79247651683258]	20240625140737	52	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003187_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003164	dbgi_003164_01_01	dbgi_003164_01	dbgi_003164	jbuf	positive	Pierre-Marie Allard	Glaucium flavum Crantz	7.1564975	46.79247				[7.156497673645488, 46.79246765491008]	20240625141250	49	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003164_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003164	dbgi_003164_01_01	dbgi_003164_01	dbgi_003164	jbuf	negative	Pierre-Marie Allard	Glaucium flavum Crantz	7.1564975	46.79247				[7.156497673645488, 46.79246765491008]	20240625141250	49	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003164_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003154	dbgi_003154_01_01	dbgi_003154_01	dbgi_003154	jbuf	positive	Pierre-Marie Allard	Datura stramonium L. var. stramonium	7.156672	46.792538				[7.156672067625027, 46.792536830834685]	20240625141826	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003154_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003154	dbgi_003154_01_01	dbgi_003154_01	dbgi_003154	jbuf	negative	Pierre-Marie Allard	Datura stramonium L. var. stramonium	7.156672	46.792538				[7.156672067625027, 46.792536830834685]	20240625141826	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003154_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003151	dbgi_003151_01_01	dbgi_003151_01	dbgi_003151	jbuf	positive	Pierre-Marie Allard	Lycopersicon esculentum Mill.	7.1565866	46.79255				[7.156586452142343, 46.79254947973799]	20240625142356	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003151_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003151	dbgi_003151_01_01	dbgi_003151_01	dbgi_003151	jbuf	negative	Pierre-Marie Allard	Lycopersicon esculentum Mill.	7.1565866	46.79255				[7.156586452142343, 46.79254947973799]	20240625142356	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003151_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	False
dbgi_003118		dbgi_003118_01	dbgi_003118	jbuf				7.1564703	46.79277			Clematis alpina (L.) Mill.	[7.156470532487376, 46.79277131933802]		52	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003082		dbgi_003082_01	dbgi_003082	jbuf				7.1564717	46.79278			Rhododendron hirsutum L.	[7.156471587880227, 46.79278149314999]		49.7	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003141	dbgi_003141_01_01	dbgi_003141_01	dbgi_003141	jbuf	positive			7.156466	46.792767			Ruscus aculeatus L.	[7.15646587381634, 46.79276826222016]		49.7	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003141_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003141	dbgi_003141_01_01	dbgi_003141_01	dbgi_003141	jbuf	negative			7.156466	46.792767			Ruscus aculeatus L.	[7.15646587381634, 46.79276826222016]		49.7	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003141_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003137		dbgi_003137_01	dbgi_003137	jbuf				7.1564655	46.792767			Polygonatum multiflorum (L.) All.	[7.156465596686426, 46.79276563216523]		51.8	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003182		dbgi_003182_01	dbgi_003182	jbuf				7.1564717	46.792767			Ranunculus lanuginosus L.	[7.156471772200333, 46.79276809890517]		50.8	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003106	dbgi_003106_01_01	dbgi_003106_01	dbgi_003106	jbuf	positive			7.1564736	46.792767			Orobanche hederae Duby	[7.156473433694259, 46.79276826783875]		49.1	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003106_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003106	dbgi_003106_01_01	dbgi_003106_01	dbgi_003106	jbuf	negative			7.1564736	46.792767			Orobanche hederae Duby	[7.156473433694259, 46.79276826783875]		49.1	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003106_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003145		dbgi_003145_01	dbgi_003145	jbuf				7.1564674	46.792732			Rosa pendulina L.	[7.156467541888665, 46.79273258902448]		51.8	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003172		dbgi_003172_01	dbgi_003172	jbuf				7.1564393	46.79279			Lonicera nigra L.	[7.156439444903961, 46.792788168532994]		49.1	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003199		dbgi_003199_01	dbgi_003199	jbuf				7.156448	46.79283			Luzula sylvatica Gaudin	[7.156448079705396, 46.79283017188144]		49.3	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003205		dbgi_003205_01	dbgi_003205	jbuf				7.156512	46.792824			Cardamine trifolia L.	[7.1565117807156, 46.7928237401322]		51.1	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003222	dbgi_003222_01_01	dbgi_003222_01	dbgi_003222	jbuf	positive			7.156488	46.792892			Cardamine trifolia L.	[7.156487866515433, 46.7928935146406]		51.4	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003222_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003222	dbgi_003222_01_01	dbgi_003222_01	dbgi_003222	jbuf	negative			7.156488	46.792892			Cardamine trifolia L.	[7.156487866515433, 46.7928935146406]		51.4	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003222_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003099	dbgi_003099_01_01	dbgi_003099_01	dbgi_003099	jbuf	positive			7.15648	46.792854			Alchemilla fissa Gnther et Schummel	[7.156479696960632, 46.79285291171418]		50.8	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003099_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003099	dbgi_003099_01_01	dbgi_003099_01	dbgi_003099	jbuf	negative			7.15648	46.792854			Alchemilla fissa Gnther et Schummel	[7.156479696960632, 46.79285291171418]		50.8	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003099_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003216	dbgi_003216_01_01	dbgi_003216_01	dbgi_003216	jbuf	positive			7.1564727	46.792862			Alchemilla fissa Gnther et Schummel	[7.156472639708599, 46.79286084999739]		52	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003216_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003216	dbgi_003216_01_01	dbgi_003216_01	dbgi_003216	jbuf	negative			7.1564727	46.792862			Alchemilla fissa Gnther et Schummel	[7.156472639708599, 46.79286084999739]		52	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003216_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003203	dbgi_003203_01_01	dbgi_003203_01	dbgi_003203	jbuf	positive			7.1565213	46.7928			Hypericum maculatum Crantz subsp. maculatum	[7.156521504078592, 46.792799202740895]		48.8	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003203_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003203	dbgi_003203_01_01	dbgi_003203_01	dbgi_003203	jbuf	negative			7.1565213	46.7928			Hypericum maculatum Crantz subsp. maculatum	[7.156521504078592, 46.792799202740895]		48.8	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003203_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003081		dbgi_003081_01	dbgi_003081	jbuf				7.1565127	46.792797			Meconopsis cambrica (L.) Vig.	[7.156512499278698, 46.7927978592153]		51.6	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003088	dbgi_003088_01_01	dbgi_003088_01	dbgi_003088	jbuf	positive			7.156516	46.792793			Anemone ranunculoides L.	[7.156516077436967, 46.79279322613395]		51.7	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003088_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003088	dbgi_003088_01_01	dbgi_003088_01	dbgi_003088	jbuf	negative			7.156516	46.792793			Anemone ranunculoides L.	[7.156516077436967, 46.79279322613395]		51.7	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003088_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003160				jbuf				7.1564445	46.79274			Pinus cembra L.	[7.156444711814997, 46.79274164517144]																
dbgi_003076		dbgi_003076_01	dbgi_003076	jbuf				7.1565332	46.792805			aaunknown	[7.156533400008874, 46.79280309969312]		49.8	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003105	dbgi_003105_01_01	dbgi_003105_01	dbgi_003105	jbuf	positive			7.156533	46.79281			Silene dioica (L.) Clairv.	[7.156532714434814, 46.79281004122805]		52.3	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003105_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003105	dbgi_003105_01_01	dbgi_003105_01	dbgi_003105	jbuf	negative			7.156533	46.79281			Silene dioica (L.) Clairv.	[7.156532714434814, 46.79281004122805]		52.3	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003105_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003127		dbgi_003127_01	dbgi_003127	jbuf				7.1564927	46.79281			Achillea macrophylla L.	[7.156492839483233, 46.79280790500892]		49.4	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003107		dbgi_003107_01	dbgi_003107	jbuf				7.1565337	46.792828			Stachys officinalis (L.) Trevis. s. l.	[7.156533618797216, 46.79282644623873]		49.3	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003072				jbuf				7.1565065	46.79273			Silene viscaria (L.) Borkh.	[7.156506344972303, 46.79272849703387]																
dbgi_003158		dbgi_003158_01	dbgi_003158	jbuf				7.1565065	46.79273			Centaurea montana L.	[7.156506344972303, 46.79272849703387]		50.2	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003090		dbgi_003090_01	dbgi_003090	jbuf				7.1565375	46.79275			Larix decidua L.	[7.156537629975835, 46.792751235141296]		51.1	1500	mg	µl	MeOH/H2O	125	µl								
dbgi_003218		dbgi_003218_01	dbgi_003218	jbuf				7.1565285	46.792744			aaunknown	[7.156528344358995, 46.792742906162886]		52.3	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003128		dbgi_003128_01	dbgi_003128	jbuf				7.1563687	46.792686			Helianthemum nummularium subsp. obscurum (Celak.) Holub	[7.156368659115747, 46.79268650423943]		49.4	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003085		dbgi_003085_01	dbgi_003085	jbuf				7.1563873	46.792683			Asplenium trichomanes L.	[7.156387346353761, 46.79268109240075]		51	1500	mg	ml	MeOH/H2O	125	µl								
dbgi_003219	dbgi_003219_01_01	dbgi_003219_01	dbgi_003219	jbuf	positive			7.156426	46.792706			Stachys recta L. subsp. recta	[7.156425909196928, 46.79270529995346]		51.4	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_pos_dbgi_003219_01_01	1	µl	20250319_PMA_C18_DDA_pos	inst_000002	LC-MS QExactive HFX	0.308	False
dbgi_003219	dbgi_003219_01_01	dbgi_003219_01	dbgi_003219	jbuf	negative			7.156426	46.792706			Stachys recta L. subsp. recta	[7.156425909196928, 46.79270529995346]		51.4	1500	mg	µl	MeOH/H2O	120	µl	20250724_103036_CVOL_20250319_PMA_C18_DDA_neg_dbgi_003219_01_01	1	µl	20250319_PMA_C18_DDA_neg	inst_000002	LC-MS QExactive HFX	0.308	False
